Time	11.02 DUNANT 1 - ENERGIEMETER BEOVELD  Totaal energieverbruik koud.11.02 DUNANT 1 - ENERGIEMETER BEOVELD  Totaal energieverbruik koud.JCI Trend Log.Present Value (MWh)	11.02 DUNANT 1 - ENERGIEMETER BEOVELD  Totaal energieverbruik warm.11.02 DUNANT 1 - ENERGIEMETER BEOVELD  Totaal energieverbruik warm.JCI Trend Log.Present Value (MWh)	
5/29/20, 12:00:00 AM CEST	0.32	0.97	
5/30/20, 12:00:00 AM CEST	0.35	0.98	
5/31/20, 12:00:00 AM CEST	0.42	0.98	
6/1/20, 12:00:00 AM CEST	0.44	0.98	
6/2/20, 12:00:00 AM CEST	0.46	0.9899999	
6/3/20, 12:00:00 AM CEST	0.91	0.9899999	
6/4/20, 12:00:00 AM CEST	0.91	0.9899999	
6/5/20, 12:00:00 AM CEST	0.91	1.0	
6/6/20, 12:00:00 AM CEST	0.91	1.0	
6/7/20, 12:00:00 AM CEST	0.91	1.01	
6/8/20, 12:00:00 AM CEST	0.91	1.01	
6/9/20, 12:00:00 AM CEST	0.91	1.02	
6/10/20, 12:00:00 AM CEST	0.91	1.06	
6/11/20, 12:00:00 AM CEST	0.91	1.16	
6/12/20, 12:00:00 AM CEST	0.93	1.33	
6/13/20, 12:00:00 AM CEST	0.93	1.41	
6/14/20, 12:00:00 AM CEST	0.93	1.42	
6/15/20, 12:00:00 AM CEST	0.93	1.45	
6/16/20, 12:00:00 AM CEST	0.93	1.5	
6/17/20, 12:00:00 AM CEST	0.93	1.5	
6/18/20, 12:00:00 AM CEST	0.93	1.57	
6/19/20, 12:00:00 AM CEST	0.93	1.59	
6/20/20, 12:00:00 AM CEST	0.93	1.63	
6/21/20, 12:00:00 AM CEST	0.93	1.68	
6/22/20, 12:00:00 AM CEST	0.93	1.71	
6/23/20, 12:00:00 AM CEST	0.93	1.78	
6/24/20, 12:00:00 AM CEST	0.93	1.8	
6/25/20, 12:00:00 AM CEST	0.93	1.83	
6/26/20, 12:00:00 AM CEST	0.93	1.9	
6/27/20, 12:00:00 AM CEST	0.93	2.13	
6/28/20, 12:00:00 AM CEST	0.93	2.41	
6/29/20, 12:00:00 AM CEST	0.93	2.47	
6/30/20, 12:00:00 AM CEST	0.93	2.53	
7/1/20, 12:00:00 AM CEST	0.93	2.53	
7/2/20, 12:00:00 AM CEST	0.93	2.53	
7/3/20, 12:00:00 AM CEST	0.93	2.53	
7/4/20, 12:00:00 AM CEST	0.93	2.54	
7/5/20, 12:00:00 AM CEST	0.93	2.56	
7/6/20, 12:00:00 AM CEST	0.93	2.56	
7/7/20, 12:00:00 AM CEST	0.93	2.57	
7/8/20, 12:00:00 AM CEST	0.93	2.57	
7/9/20, 12:00:00 AM CEST	0.94	2.57	
7/10/20, 12:00:00 AM CEST	0.94	2.57	
7/11/20, 12:00:00 AM CEST	0.94	2.58	
7/12/20, 12:00:00 AM CEST	0.94	2.58	
7/13/20, 12:00:00 AM CEST	0.94	2.58	
7/14/20, 12:00:00 AM CEST	0.94	2.6	
7/15/20, 12:00:00 AM CEST	0.94	2.7	
7/16/20, 12:00:00 AM CEST	0.94	2.7	
7/17/20, 12:00:00 AM CEST	0.94	2.7	
7/18/20, 12:00:00 AM CEST	0.94	2.7	
7/19/20, 12:00:00 AM CEST	0.94	2.81	
7/20/20, 12:00:00 AM CEST	0.94	2.91	
7/21/20, 12:00:00 AM CEST	0.94	2.94	
7/22/20, 12:00:00 AM CEST	0.94	2.94	
7/23/20, 12:00:00 AM CEST	0.94	2.94	
7/24/20, 12:00:00 AM CEST	0.94	2.96	
7/25/20, 12:00:00 AM CEST	0.94	3.1	
7/26/20, 12:00:00 AM CEST	0.94	3.1	
7/27/20, 12:00:00 AM CEST	0.94	3.16	
7/28/20, 12:00:00 AM CEST	0.94	3.2	
7/29/20, 12:00:00 AM CEST	0.94	3.36	
7/30/20, 12:00:00 AM CEST	0.94	3.36	
7/31/20, 12:00:00 AM CEST	0.94	3.41	
8/1/20, 12:00:00 AM CEST	0.94	3.75	
8/2/20, 12:00:00 AM CEST	0.94	3.91	
8/3/20, 12:00:00 AM CEST	0.94	4.13	
8/4/20, 12:00:00 AM CEST	0.94	4.17	
8/5/20, 12:00:00 AM CEST	0.94	4.17	
8/6/20, 12:00:00 AM CEST	0.94	4.26	
8/7/20, 12:00:00 AM CEST	0.94	4.45	
8/8/20, 12:00:00 AM CEST	0.94	4.71	
8/9/20, 12:00:00 AM CEST	0.94	5.05	
8/10/20, 12:00:00 AM CEST	0.94	5.44	
8/11/20, 12:00:00 AM CEST	0.94	5.83	
8/12/20, 12:00:00 AM CEST	0.94	6.22	
8/13/20, 12:00:00 AM CEST	0.94	6.6	
8/14/20, 12:00:00 AM CEST	0.94	6.95	
8/15/20, 12:00:00 AM CEST	0.94	7.28	
8/16/20, 12:00:00 AM CEST	0.94	7.47	
8/17/20, 12:00:00 AM CEST	0.94	7.66	
8/18/20, 12:00:00 AM CEST	0.94	7.79	
8/19/20, 12:00:00 AM CEST	0.94	7.88	
8/20/20, 12:00:00 AM CEST	0.94	8.0	
8/21/20, 12:00:00 AM CEST	0.94	8.13	
8/22/20, 12:00:00 AM CEST	0.94	8.59	
8/23/20, 12:00:00 AM CEST	0.94	8.71	
8/24/20, 12:00:00 AM CEST	0.94	8.74	
8/25/20, 12:00:00 AM CEST	0.94	8.75	
8/26/20, 12:00:00 AM CEST	0.94	8.75	
8/27/20, 12:00:00 AM CEST	0.94	8.78	
8/28/20, 12:00:00 AM CEST	0.95	8.809999	
8/29/20, 12:00:00 AM CEST	0.95	8.929999	
8/30/20, 12:00:00 AM CEST	0.95	9.0	
8/31/20, 12:00:00 AM CEST	0.95	9.09	
9/1/20, 12:00:00 AM CEST	0.95	9.17	
9/2/20, 12:00:00 AM CEST	0.95	9.28	
9/3/20, 12:00:00 AM CEST	0.95	9.36	
9/4/20, 12:00:00 AM CEST	0.95	9.48	
9/5/20, 12:00:00 AM CEST	0.96	9.58	
9/6/20, 12:00:00 AM CEST	0.96	9.63	
9/7/20, 12:00:00 AM CEST	0.96	9.719999	
9/8/20, 12:00:00 AM CEST	0.96	9.82	
9/9/20, 12:00:00 AM CEST	0.96	9.92	
9/10/20, 12:00:00 AM CEST	0.96	9.96	
9/11/20, 12:00:00 AM CEST	0.96	10.15	
9/12/20, 12:00:00 AM CEST	0.96	10.22	
9/13/20, 12:00:00 AM CEST	0.96	10.29	
9/14/20, 12:00:00 AM CEST	0.96	10.38	
9/15/20, 12:00:00 AM CEST	0.96	10.51	
9/16/20, 12:00:00 AM CEST	0.96	10.73	
9/17/20, 12:00:00 AM CEST	0.96	10.98	
9/18/20, 12:00:00 AM CEST	0.96	11.2	
9/19/20, 12:00:00 AM CEST	0.96	11.31	
9/20/20, 12:00:00 AM CEST	0.96	11.44	
9/21/20, 12:00:00 AM CEST	0.96	11.61	
9/22/20, 12:00:00 AM CEST	0.96	11.75	
9/23/20, 12:00:00 AM CEST	1.0	11.78	
9/24/20, 12:00:00 AM CEST	1.01	11.78	
9/25/20, 12:00:00 AM CEST	1.02	11.79	
9/26/20, 12:00:00 AM CEST	1.12	11.79	
9/27/20, 12:00:00 AM CEST	1.14	11.79	
9/28/20, 12:00:00 AM CEST	1.2	11.8	
9/29/20, 12:00:00 AM CEST	1.23	11.8	
9/30/20, 12:00:00 AM CEST	1.28	11.8	
10/1/20, 12:00:00 AM CEST	1.32	11.81	
10/2/20, 12:00:00 AM CEST	1.35	11.81	
10/3/20, 12:00:00 AM CEST	1.42	11.81	
10/4/20, 12:00:00 AM CEST	1.45	11.81	
10/5/20, 12:00:00 AM CEST	1.5	11.82	
10/6/20, 12:00:00 AM CEST	1.67	11.82	
10/7/20, 12:00:00 AM CEST	1.76	11.82	
10/8/20, 12:00:00 AM CEST	1.79	11.82	
10/9/20, 12:00:00 AM CEST	1.88	11.83	
10/10/20, 12:00:00 AM CEST	1.88	11.83	
10/11/20, 12:00:00 AM CEST	1.88	11.83	
10/12/20, 12:00:00 AM CEST	1.88	11.83	
10/13/20, 12:00:00 AM CEST	1.91	11.83	
10/14/20, 12:00:00 AM CEST	1.91	11.83	
10/15/20, 12:00:00 AM CEST	1.97	11.84	
10/16/20, 12:00:00 AM CEST	2.12	11.84	
10/17/20, 12:00:00 AM CEST	2.24	11.84	
10/18/20, 12:00:00 AM CEST	2.28	11.84	
10/19/20, 12:00:00 AM CEST	2.33	11.84	
10/20/20, 12:00:00 AM CEST	2.33	11.84	
10/21/20, 12:00:00 AM CEST	2.47	11.84	
10/22/20, 12:00:00 AM CEST	2.59	11.85	
10/23/20, 12:00:00 AM CEST	2.64	11.85	
10/24/20, 12:00:00 AM CEST	2.76	11.85	
10/25/20, 12:00:00 AM CEST	2.77	11.85	
10/26/20, 12:00:00 AM CET	2.78	11.85	
10/27/20, 12:00:00 AM CET	2.78	11.85	
10/28/20, 12:00:00 AM CET	2.93	11.85	
10/29/20, 12:00:00 AM CET	3.07	11.85	
10/30/20, 12:00:00 AM CET	3.18	11.85	
10/31/20, 12:00:00 AM CET	3.3	11.86	
11/1/20, 12:00:00 AM CET	3.37	11.86	
11/2/20, 12:00:00 AM CET	3.38	11.86	
11/3/20, 12:00:00 AM CET	3.38	11.86	
11/4/20, 12:00:00 AM CET	3.49	11.86	
11/5/20, 12:00:00 AM CET	3.64	11.86	
11/6/20, 12:00:00 AM CET	3.79	11.86	
11/7/20, 12:00:01 AM CET	4.02	11.86	
11/8/20, 12:00:00 AM CET	4.16	11.86	
11/9/20, 12:00:00 AM CET	4.17	11.87	
11/10/20, 12:00:00 AM CET	4.17	11.87	
11/11/20, 12:00:00 AM CET	4.32	11.87	
11/12/20, 12:00:00 AM CET	4.45	11.87	
11/13/20, 12:00:00 AM CET	4.59	11.87	
11/14/20, 12:00:00 AM CET	4.72	11.87	
11/15/20, 12:00:00 AM CET	4.87	11.87	
11/16/20, 12:00:00 AM CET	4.88	11.87	
11/17/20, 12:00:00 AM CET	4.88	11.87	
11/18/20, 12:00:00 AM CET	5.07	11.87	
11/19/20, 12:00:00 AM CET	5.19	11.88	
11/20/20, 12:00:00 AM CET	5.3	11.88	
11/21/20, 12:00:00 AM CET	5.48	11.88	
11/22/20, 12:00:00 AM CET	5.69	11.88	
11/23/20, 12:00:00 AM CET	5.7	11.88	
11/24/20, 12:00:00 AM CET	5.7	11.88	
11/25/20, 12:00:00 AM CET	5.77	11.88	
11/26/20, 12:00:00 AM CET	5.78	11.88	
11/27/20, 12:00:00 AM CET	5.78	11.88	
11/28/20, 12:00:00 AM CET	5.78	11.88	
11/29/20, 12:00:00 AM CET	5.78	11.88	
11/30/20, 12:00:00 AM CET	5.78	11.88	
12/1/20, 12:00:00 AM CET	5.78	11.88	
12/2/20, 12:00:00 AM CET	5.79	11.89	
12/3/20, 12:00:00 AM CET	5.79	11.89	
12/4/20, 12:00:00 AM CET	5.79	11.89	
12/5/20, 12:00:00 AM CET	5.79	11.89	
12/6/20, 12:00:00 AM CET	5.79	11.89	
12/7/20, 12:00:00 AM CET	5.79	11.89	
12/8/20, 12:00:00 AM CET	5.79	11.89	
12/9/20, 12:00:00 AM CET	5.79	11.89	
12/10/20, 12:00:00 AM CET	5.79	11.89	
12/11/20, 12:00:00 AM CET	5.79	11.89	
12/12/20, 12:00:00 AM CET	5.79	11.89	
12/13/20, 12:00:00 AM CET	5.79	11.89	
12/14/20, 12:00:00 AM CET	5.79	11.89	
12/15/20, 12:00:00 AM CET	5.79	11.89	
12/16/20, 12:00:00 AM CET	5.79	11.89	
12/17/20, 12:00:00 AM CET	5.79	11.89	
12/18/20, 12:00:00 AM CET	5.79	11.89	
12/19/20, 12:00:00 AM CET	5.79	11.89	
12/20/20, 12:00:00 AM CET	5.79	11.89	
12/21/20, 12:00:00 AM CET	5.79	11.89	
12/22/20, 12:00:00 AM CET	5.79	11.89	
12/23/20, 12:00:00 AM CET	5.79	11.89	
12/24/20, 12:00:00 AM CET	5.79	11.89	
12/25/20, 12:00:00 AM CET	5.79	11.89	
12/26/20, 12:00:00 AM CET	5.79	11.89	
12/27/20, 12:00:00 AM CET	5.79	11.89	
12/28/20, 12:00:00 AM CET	5.79	11.89	
12/29/20, 12:00:00 AM CET	5.79	11.89	
12/30/20, 12:00:00 AM CET	5.79	11.89	
12/31/20, 12:00:00 AM CET	5.79	11.89	
1/1/21, 12:00:00 AM CET	5.79	11.89	
1/2/21, 12:00:00 AM CET	5.79	11.89	
1/3/21, 12:00:00 AM CET	5.79	11.89	
1/4/21, 12:00:00 AM CET	5.79	11.89	
1/5/21, 12:00:00 AM CET	5.79	11.89	
1/6/21, 12:00:00 AM CET	5.79	11.89	
1/7/21, 12:00:00 AM CET	5.79	11.89	
1/8/21, 12:00:00 AM CET	5.79	11.89	
1/9/21, 12:00:00 AM CET	5.79	11.89	
1/10/21, 12:00:00 AM CET	5.79	11.89	
1/11/21, 12:00:00 AM CET	5.79	11.89	
1/12/21, 12:00:00 AM CET	5.79	11.89	
1/13/21, 12:00:00 AM CET	5.79	11.89	
1/14/21, 12:00:00 AM CET	5.79	11.89	
1/15/21, 12:00:00 AM CET	5.79	11.89	
1/16/21, 12:00:00 AM CET	5.79	11.89	
1/17/21, 12:00:00 AM CET	5.79	11.89	
1/18/21, 12:00:00 AM CET	5.79	11.89	
1/19/21, 12:00:00 AM CET	5.79	11.89	
1/20/21, 12:00:00 AM CET	5.79	11.89	
1/21/21, 12:00:00 AM CET	5.79	11.89	
1/22/21, 12:00:00 AM CET	5.79	11.89	
1/23/21, 12:00:00 AM CET	5.79	11.89	
1/24/21, 12:00:00 AM CET	5.79	11.89	
1/25/21, 12:00:00 AM CET	5.79	11.89	
1/26/21, 12:00:00 AM CET	5.79	11.89	
1/27/21, 12:00:00 AM CET	5.79	11.89	
1/28/21, 12:00:00 AM CET	5.79	11.89	
1/29/21, 12:00:00 AM CET	5.79	11.89	
1/30/21, 12:00:00 AM CET	5.79	11.89	
1/31/21, 12:00:00 AM CET	5.79	11.89	
2/1/21, 12:00:00 AM CET	5.79	11.89	
2/2/21, 12:00:00 AM CET	5.79	11.89	
2/3/21, 12:00:00 AM CET	5.79	11.89	
2/4/21, 12:00:00 AM CET	5.79	11.89	
2/5/21, 12:00:00 AM CET	5.79	11.89	
2/6/21, 12:00:00 AM CET	5.79	11.89	
2/7/21, 12:00:00 AM CET	5.87	11.89	
2/8/21, 12:00:00 AM CET	5.87	11.89	
2/9/21, 12:00:00 AM CET	6.05	11.89	
2/10/21, 12:00:00 AM CET	6.39	11.89	
2/11/21, 12:00:00 AM CET	6.7	11.9	
2/12/21, 12:00:00 AM CET	7.09	11.9	
2/13/21, 12:00:00 AM CET	7.43	11.9	
2/14/21, 12:00:00 AM CET	7.69	11.9	
2/15/21, 12:00:00 AM CET	8.03	11.9	
2/16/21, 12:00:00 AM CET	8.34	11.9	
2/17/21, 12:00:00 AM CET	8.52	11.9	
2/18/21, 12:00:00 AM CET	8.92	11.91	
2/19/21, 12:00:00 AM CET	9.04	11.91	
2/20/21, 12:00:00 AM CET	9.26	11.91	
2/21/21, 12:00:00 AM CET	9.53	11.92	
2/22/21, 12:00:00 AM CET	9.53	11.92	
2/23/21, 12:00:00 AM CET	9.599999	11.92	
2/24/21, 12:00:00 AM CET	9.79	11.92	
2/25/21, 12:00:00 AM CET	9.929999	11.92	
2/26/21, 12:00:00 AM CET	10.03	11.93	
2/27/21, 12:00:00 AM CET	10.23	11.93	
2/28/21, 12:00:00 AM CET	10.32	11.93	
3/1/21, 12:00:00 AM CET	10.32	11.93	
3/2/21, 12:00:00 AM CET	10.58	11.93	
3/3/21, 12:00:00 AM CET	10.84	11.94	
3/4/21, 12:00:00 AM CET	11.02	11.94	
3/5/21, 12:00:00 AM CET	11.35	11.94	
3/6/21, 12:00:00 AM CET	11.44	11.94	
3/7/21, 12:00:00 AM CET	11.68	11.95	
