Time	11.02 DUNANT 1 - ENERGIEMETER KETEL  Totaal energieverbruik warm.11.02 DUNANT 1 - ENERGIEMETER KETEL  Totaal energieverbruik warm.JCI Trend Log.Present Value (Wh)	
5/29/20, 12:00:00 AM CEST	7922072	
5/30/20, 12:00:00 AM CEST	7922072	
5/31/20, 12:00:00 AM CEST	7922177	
6/1/20, 12:00:00 AM CEST	7922177	
6/2/20, 12:00:00 AM CEST	7922177	
6/3/20, 12:00:00 AM CEST	7922177	
6/4/20, 12:00:00 AM CEST	7922177	
6/5/20, 12:00:00 AM CEST	7948247	
6/6/20, 12:00:00 AM CEST	8042376	
6/7/20, 12:00:00 AM CEST	8177330	
6/8/20, 12:00:00 AM CEST	8179724	
6/9/20, 12:00:00 AM CEST	8182584	
6/10/20, 12:00:00 AM CEST	8274976	
6/11/20, 12:00:00 AM CEST	8274976	
6/12/20, 12:00:00 AM CEST	8274976	
6/13/20, 12:00:00 AM CEST	8274985	
6/14/20, 12:00:00 AM CEST	8274999	
6/15/20, 12:00:00 AM CEST	8274999	
6/16/20, 12:00:00 AM CEST	8274999	
6/17/20, 12:00:00 AM CEST	8274999	
6/18/20, 12:00:00 AM CEST	8274999	
6/19/20, 12:00:00 AM CEST	8274999	
6/20/20, 12:00:00 AM CEST	8274999	
6/21/20, 12:00:00 AM CEST	8274999	
6/22/20, 12:00:00 AM CEST	8274999	
6/23/20, 12:00:00 AM CEST	8274999	
6/24/20, 12:00:00 AM CEST	8274999	
6/25/20, 12:00:00 AM CEST	8274999	
6/26/20, 12:00:00 AM CEST	8274999	
6/27/20, 12:00:00 AM CEST	8274999	
6/28/20, 12:00:00 AM CEST	8274999	
6/29/20, 12:00:00 AM CEST	8274999	
6/30/20, 12:00:00 AM CEST	8274999	
7/1/20, 12:00:00 AM CEST	8274999	
7/2/20, 12:00:00 AM CEST	8274999	
7/3/20, 12:00:00 AM CEST	8274999	
7/4/20, 12:00:00 AM CEST	8274999	
7/5/20, 12:00:00 AM CEST	8274999	
7/6/20, 12:00:00 AM CEST	8274999	
7/7/20, 12:00:00 AM CEST	8274999	
7/8/20, 12:00:00 AM CEST	8274999	
7/9/20, 12:00:00 AM CEST	8274999	
7/10/20, 12:00:00 AM CEST	8274999	
7/11/20, 12:00:00 AM CEST	8274999	
7/12/20, 12:00:00 AM CEST	8274999	
7/13/20, 12:00:00 AM CEST	8274999	
7/14/20, 12:00:00 AM CEST	8274999	
7/15/20, 12:00:00 AM CEST	8274999	
7/16/20, 12:00:00 AM CEST	8274999	
7/17/20, 12:00:00 AM CEST	8274999	
7/18/20, 12:00:00 AM CEST	8274999	
7/19/20, 12:00:00 AM CEST	8274999	
7/20/20, 12:00:00 AM CEST	8274999	
7/21/20, 12:00:00 AM CEST	8274999	
7/22/20, 12:00:00 AM CEST	8274999	
7/23/20, 12:00:00 AM CEST	8274999	
7/24/20, 12:00:00 AM CEST	8274999	
7/25/20, 12:00:00 AM CEST	8274999	
7/26/20, 12:00:00 AM CEST	8274999	
7/27/20, 12:00:00 AM CEST	8274999	
7/28/20, 12:00:00 AM CEST	8274999	
7/29/20, 12:00:00 AM CEST	8274999	
7/30/20, 12:00:00 AM CEST	8274999	
7/31/20, 12:00:00 AM CEST	8274999	
8/1/20, 12:00:00 AM CEST	8274999	
8/2/20, 12:00:00 AM CEST	8274999	
8/3/20, 12:00:00 AM CEST	8274999	
8/4/20, 12:00:00 AM CEST	8274999	
8/5/20, 12:00:00 AM CEST	8274999	
8/6/20, 12:00:00 AM CEST	8274999	
8/7/20, 12:00:00 AM CEST	8274999	
8/8/20, 12:00:00 AM CEST	8274999	
8/9/20, 12:00:00 AM CEST	8274999	
8/10/20, 12:00:00 AM CEST	8274999	
8/11/20, 12:00:00 AM CEST	8274999	
8/12/20, 12:00:00 AM CEST	8274999	
8/13/20, 12:00:00 AM CEST	8274999	
8/14/20, 12:00:00 AM CEST	8274999	
8/15/20, 12:00:00 AM CEST	8274999	
8/16/20, 12:00:00 AM CEST	8274999	
8/17/20, 12:00:00 AM CEST	8274999	
8/18/20, 12:00:00 AM CEST	8274999	
8/19/20, 12:00:00 AM CEST	8274999	
8/20/20, 12:00:00 AM CEST	8274999	
8/21/20, 12:00:00 AM CEST	8274999	
8/22/20, 12:00:00 AM CEST	8274999	
8/23/20, 12:00:00 AM CEST	8274999	
8/24/20, 12:00:00 AM CEST	8274999	
8/25/20, 12:00:00 AM CEST	8274999	
8/26/20, 12:00:00 AM CEST	8274999	
8/27/20, 12:00:00 AM CEST	8274999	
8/28/20, 12:00:00 AM CEST	8274999	
8/29/20, 12:00:00 AM CEST	8275022	
8/30/20, 12:00:00 AM CEST	8275022	
8/31/20, 12:00:00 AM CEST	8275022	
9/1/20, 12:00:00 AM CEST	8275022	
9/2/20, 12:00:00 AM CEST	8275022	
9/3/20, 12:00:00 AM CEST	8275022	
9/4/20, 12:00:00 AM CEST	8275333	
9/5/20, 12:00:00 AM CEST	8275333	
9/6/20, 12:00:00 AM CEST	8275333	
9/7/20, 12:00:00 AM CEST	8275333	
9/8/20, 12:00:00 AM CEST	8275333	
9/9/20, 12:00:00 AM CEST	8275333	
9/10/20, 12:00:00 AM CEST	8275333	
9/11/20, 12:00:00 AM CEST	8275333	
9/12/20, 12:00:00 AM CEST	8275333	
9/13/20, 12:00:00 AM CEST	8275333	
9/14/20, 12:00:00 AM CEST	8275333	
9/15/20, 12:00:00 AM CEST	8275333	
9/16/20, 12:00:00 AM CEST	8275333	
9/17/20, 12:00:00 AM CEST	8276118	
9/18/20, 12:00:00 AM CEST	8276119	
9/19/20, 12:00:00 AM CEST	8276119	
9/20/20, 12:00:00 AM CEST	8276119	
9/21/20, 12:00:00 AM CEST	8276119	
9/22/20, 12:00:00 AM CEST	8276119	
9/23/20, 12:00:00 AM CEST	8286204	
9/24/20, 12:00:00 AM CEST	8312031	
9/25/20, 12:00:00 AM CEST	8338164	
9/26/20, 12:00:00 AM CEST	8369561	
9/27/20, 12:00:00 AM CEST	8414828	
9/28/20, 12:00:00 AM CEST	8414828	
9/29/20, 12:00:00 AM CEST	8414828	
9/30/20, 12:00:00 AM CEST	8480175	
10/1/20, 12:00:00 AM CEST	8543753	
10/2/20, 12:00:00 AM CEST	8596160	
10/3/20, 12:00:00 AM CEST	8644805	
10/4/20, 12:00:00 AM CEST	8696756	
10/5/20, 12:00:00 AM CEST	8696756	
10/6/20, 12:00:00 AM CEST	8696756	
10/7/20, 12:00:00 AM CEST	8791171	
10/8/20, 12:00:00 AM CEST	8890463	
10/9/20, 12:00:00 AM CEST	8953101	
10/10/20, 12:00:00 AM CEST	9009840	
10/11/20, 12:00:00 AM CEST	9072864	
10/12/20, 12:00:00 AM CEST	9118970	
10/13/20, 12:00:00 AM CEST	9161510	
10/14/20, 12:00:00 AM CEST	9347374	
10/15/20, 12:00:00 AM CEST	9477903	
10/16/20, 12:00:00 AM CEST	9616925	
10/17/20, 12:00:00 AM CEST	9698353	
10/18/20, 12:00:00 AM CEST	9781582	
10/19/20, 12:00:00 AM CEST	9781583	
10/20/20, 12:00:00 AM CEST	9781583	
10/21/20, 12:00:00 AM CEST	9878094	
10/22/20, 12:00:00 AM CEST	9961886	
10/23/20, 12:00:00 AM CEST	33506.0	
10/24/20, 12:00:00 AM CEST	99745.0	
10/25/20, 12:00:00 AM CEST	169532.0	
10/26/20, 12:00:00 AM CET	169532.0	
10/27/20, 12:00:00 AM CET	169532.0	
10/28/20, 12:00:00 AM CET	266842.0	
10/29/20, 12:00:00 AM CET	355946.0	
10/30/20, 12:00:00 AM CET	452570.0	
10/31/20, 12:00:00 AM CET	541658.0	
11/1/20, 12:00:00 AM CET	617352.0	
11/2/20, 12:00:00 AM CET	617352.0	
11/3/20, 12:00:00 AM CET	617352.0	
11/4/20, 12:00:00 AM CET	697404.0	
11/5/20, 12:00:00 AM CET	798095.0	
11/6/20, 12:00:00 AM CET	904981.0	
11/7/20, 12:00:01 AM CET	1022748	
11/8/20, 12:00:00 AM CET	1131521	
11/9/20, 12:00:00 AM CET	1131521	
11/10/20, 12:00:00 AM CET	1131521	
11/11/20, 12:00:00 AM CET	1228798	
11/12/20, 12:00:00 AM CET	1322578	
11/13/20, 12:00:00 AM CET	1413842	
11/14/20, 12:00:00 AM CET	1500633	
11/15/20, 12:00:00 AM CET	1593239	
11/16/20, 12:00:00 AM CET	1593239	
11/17/20, 12:00:00 AM CET	1593239	
11/18/20, 12:00:00 AM CET	1705283	
11/19/20, 12:00:00 AM CET	1800176	
11/20/20, 12:00:00 AM CET	1888237	
11/21/20, 12:00:00 AM CET	1990630	
11/22/20, 12:00:00 AM CET	2110969	
11/23/20, 12:00:00 AM CET	2110970	
11/24/20, 12:00:00 AM CET	2110970	
11/25/20, 12:00:00 AM CET	2359842	
11/26/20, 12:00:00 AM CET	2529197	
11/27/20, 12:00:00 AM CET	2704239	
11/28/20, 12:00:00 AM CET	2864327	
11/29/20, 12:00:00 AM CET	3030732	
11/30/20, 12:00:00 AM CET	3030732	
12/1/20, 12:00:00 AM CET	3030732	
12/2/20, 12:00:00 AM CET	3264075	
12/3/20, 12:00:00 AM CET	3773050	
12/4/20, 12:00:00 AM CET	4177337	
12/5/20, 12:00:00 AM CET	4770194	
12/6/20, 12:00:00 AM CET	5323122	
12/7/20, 12:00:00 AM CET	5323122	
12/8/20, 12:00:00 AM CET	6049111	
12/9/20, 12:00:00 AM CET	6861585	
12/10/20, 12:00:00 AM CET	7466958	
12/11/20, 12:00:00 AM CET	7786051	
12/12/20, 12:00:00 AM CET	8223132	
12/13/20, 12:00:00 AM CET	8759580	
12/14/20, 12:00:00 AM CET	8759580	
12/15/20, 12:00:00 AM CET	9107416	
12/16/20, 12:00:00 AM CET	9403036	
12/17/20, 12:00:00 AM CET	9738233	
12/18/20, 12:00:00 AM CET	126915.0	
12/19/20, 12:00:00 AM CET	456103.0	
12/20/20, 12:00:00 AM CET	762198.0	
12/21/20, 12:00:00 AM CET	762198.0	
12/22/20, 12:00:00 AM CET	983350.0	
12/23/20, 12:00:00 AM CET	1461294	
12/24/20, 12:00:00 AM CET	1728037	
12/25/20, 12:00:00 AM CET	2008124	
12/26/20, 12:00:00 AM CET	2015230	
12/27/20, 12:00:00 AM CET	2023227	
12/28/20, 12:00:00 AM CET	2023227	
12/29/20, 12:00:00 AM CET	2023227	
12/30/20, 12:00:00 AM CET	2034389	
12/31/20, 12:00:00 AM CET	2044791	
1/1/21, 12:00:00 AM CET	2111588	
1/2/21, 12:00:00 AM CET	2463985	
1/3/21, 12:00:00 AM CET	2786792	
1/4/21, 12:00:00 AM CET	3076225	
1/5/21, 12:00:00 AM CET	4201504	
1/6/21, 12:00:00 AM CET	5140780	
1/7/21, 12:00:00 AM CET	5942922	
1/8/21, 12:00:00 AM CET	6568884	
1/9/21, 12:00:00 AM CET	7404945	
1/10/21, 12:00:00 AM CET	7732867	
1/11/21, 12:00:00 AM CET	7732867	
1/12/21, 12:00:00 AM CET	8212521	
1/13/21, 12:00:00 AM CET	8835764	
1/14/21, 12:00:00 AM CET	9272335	
1/15/21, 12:00:00 AM CET	9827300	
1/16/21, 12:00:00 AM CET	350037.0	
1/17/21, 12:00:00 AM CET	944125.0	
1/18/21, 12:00:00 AM CET	944125.0	
1/19/21, 12:00:00 AM CET	1447323	
1/20/21, 12:00:00 AM CET	2029645	
1/21/21, 12:00:00 AM CET	2507162	
1/22/21, 12:00:00 AM CET	2928361	
1/23/21, 12:00:00 AM CET	3359668	
1/24/21, 12:00:00 AM CET	3838896	
1/25/21, 12:00:00 AM CET	3838896	
1/26/21, 12:00:00 AM CET	4340376	
1/27/21, 12:00:00 AM CET	4913942	
1/28/21, 12:00:00 AM CET	5435090	
1/29/21, 12:00:00 AM CET	6013490	
1/30/21, 12:00:00 AM CET	6347597	
1/31/21, 12:00:00 AM CET	6720880	
2/1/21, 12:00:00 AM CET	6720880	
2/2/21, 12:00:00 AM CET	7267181	
2/3/21, 12:00:00 AM CET	7837054	
2/4/21, 12:00:00 AM CET	8250813	
2/5/21, 12:00:00 AM CET	8619015	
2/6/21, 12:00:00 AM CET	9031726	
2/7/21, 12:00:00 AM CET	9254486	
2/8/21, 12:00:00 AM CET	9254486	
2/9/21, 12:00:00 AM CET	9484102	
2/10/21, 12:00:00 AM CET	360573.0	
2/11/21, 12:00:00 AM CET	522436.0	
2/12/21, 12:00:00 AM CET	688645.0	
2/13/21, 12:00:00 AM CET	908135.0	
2/14/21, 12:00:00 AM CET	1076070	
2/15/21, 12:00:00 AM CET	1077691	
2/16/21, 12:00:00 AM CET	1092745	
2/17/21, 12:00:00 AM CET	1242688	
2/18/21, 12:00:00 AM CET	1387161	
2/19/21, 12:00:00 AM CET	1496688	
2/20/21, 12:00:00 AM CET	1646304	
2/21/21, 12:00:00 AM CET	1763453	
2/22/21, 12:00:00 AM CET	1763454	
2/23/21, 12:00:00 AM CET	1763454	
2/24/21, 12:00:00 AM CET	1861060	
2/25/21, 12:00:00 AM CET	1945112	
2/26/21, 12:00:00 AM CET	2020164	
2/27/21, 12:00:00 AM CET	2105725	
2/28/21, 12:00:00 AM CET	2199455	
3/1/21, 12:00:00 AM CET	2199455	
3/2/21, 12:00:00 AM CET	2199681	
3/3/21, 12:00:00 AM CET	2318412	
3/4/21, 12:00:00 AM CET	2422850	
3/5/21, 12:00:00 AM CET	2515336	
3/6/21, 12:00:00 AM CET	2628906	
3/7/21, 12:00:00 AM CET	2741344	
3/8/21, 12:00:00 AM CET	2741344	
3/9/21, 12:00:00 AM CET	2741698	
3/10/21, 12:00:00 AM CET	2859689	
3/11/21, 12:00:00 AM CET	2980352	
3/12/21, 12:00:00 AM CET	3098875	
3/13/21, 12:00:00 AM CET	3193952	
3/14/21, 12:00:00 AM CET	3311237	
3/15/21, 12:00:00 AM CET	3311237	
3/16/21, 12:00:00 AM CET	3311237	
3/17/21, 12:00:00 AM CET	3639969	
3/18/21, 12:00:00 AM CET	4119585	
3/19/21, 12:00:00 AM CET	4489626	
3/20/21, 12:00:00 AM CET	4872495	
3/21/21, 12:00:00 AM CET	5262133	
3/22/21, 12:00:00 AM CET	5262133	
3/23/21, 12:00:00 AM CET	5531390	
3/24/21, 12:00:00 AM CET	5946874	
3/25/21, 12:00:00 AM CET	6270466	
3/26/21, 12:00:00 AM CET	6550272	
3/27/21, 12:00:00 AM CET	6816701	
3/28/21, 12:00:00 AM CET	7070873	
3/29/21, 12:00:00 AM CEST	7070873	
3/30/21, 12:00:00 AM CEST	7203278	
3/31/21, 12:00:00 AM CEST	7505632	
4/1/21, 12:00:00 AM CEST	7536937	
4/2/21, 12:00:00 AM CEST	7583788	
4/3/21, 12:00:00 AM CEST	7646449	
4/4/21, 12:00:00 AM CEST	7739136	
4/5/21, 12:00:00 AM CEST	7739136	
4/6/21, 12:00:00 AM CEST	7739136	
4/7/21, 12:00:00 AM CEST	7739136	
4/8/21, 12:00:00 AM CEST	7875916	
4/9/21, 12:00:00 AM CEST	8004028	
4/10/21, 12:00:00 AM CEST	8113853	
4/11/21, 12:00:00 AM CEST	8212576	
4/12/21, 12:00:00 AM CEST	8212576	
4/13/21, 12:00:00 AM CEST	8212576	
4/14/21, 12:00:00 AM CEST	8335830	
4/15/21, 12:00:00 AM CEST	8441850	
4/16/21, 12:00:00 AM CEST	8546039	
4/17/21, 12:00:00 AM CEST	8653703	
4/18/21, 12:00:00 AM CEST	8764652	
4/19/21, 12:00:00 AM CEST	8764652	
4/20/21, 12:00:00 AM CEST	8764652	
4/21/21, 12:00:00 AM CEST	8865421	
4/22/21, 12:00:00 AM CEST	8952676	
4/23/21, 12:00:00 AM CEST	9035687	
4/24/21, 12:00:00 AM CEST	9129518	
4/25/21, 12:00:00 AM CEST	9212168	
4/26/21, 12:00:00 AM CEST	9212168	
4/27/21, 12:00:00 AM CEST	9212168	
4/28/21, 12:00:00 AM CEST	9305116	
4/29/21, 12:00:00 AM CEST	9384725	
4/30/21, 12:00:00 AM CEST	9459769	
5/1/21, 12:00:00 AM CEST	9559081	
5/2/21, 12:00:00 AM CEST	9653082	
5/3/21, 12:00:00 AM CEST	9653082	
5/4/21, 12:00:00 AM CEST	9653082	
5/5/21, 12:00:00 AM CEST	9746727	
5/6/21, 12:00:00 AM CEST	9875456	
5/7/21, 12:00:00 AM CEST	9934590	
5/8/21, 12:00:00 AM CEST	39253.0	
5/9/21, 12:00:00 AM CEST	129320.0	
5/10/21, 12:00:00 AM CEST	129320.0	
5/11/21, 12:00:00 AM CEST	129320.0	
5/12/21, 12:00:00 AM CEST	201543.0	
5/13/21, 12:00:00 AM CEST	276616.0	
5/14/21, 12:00:00 AM CEST	348669.0	
5/15/21, 12:00:00 AM CEST	348669.0	
5/16/21, 12:00:00 AM CEST	348669.0	
5/17/21, 12:00:00 AM CEST	348669.0	
5/18/21, 12:00:00 AM CEST	348669.0	
5/19/21, 12:00:00 AM CEST	436508.0	
5/20/21, 12:00:00 AM CEST	509040.0	
5/21/21, 12:00:00 AM CEST	585344.0	
5/22/21, 12:00:00 AM CEST	650669.0	
5/23/21, 12:00:00 AM CEST	718718.0	
5/24/21, 12:00:00 AM CEST	718718.0	
5/25/21, 12:00:00 AM CEST	718718.0	
5/26/21, 12:00:00 AM CEST	806738.0	
5/27/21, 12:00:00 AM CEST	891267.0	
5/28/21, 12:00:00 AM CEST	967419.0	
5/29/21, 12:00:00 AM CEST	1038685	
5/30/21, 12:00:00 AM CEST	1092767	
5/31/21, 12:00:00 AM CEST	1092767	
6/1/21, 12:00:00 AM CEST	1092767	
6/2/21, 12:00:00 AM CEST	1120523	
6/3/21, 12:00:00 AM CEST	1120523	
6/4/21, 12:00:00 AM CEST	1120523	
6/5/21, 12:00:00 AM CEST	1120523	
6/6/21, 12:00:00 AM CEST	1120523	
6/7/21, 12:00:00 AM CEST	1120523	
6/8/21, 12:00:00 AM CEST	1120523	
6/9/21, 12:00:00 AM CEST	1120523	
6/10/21, 12:00:00 AM CEST	1120523	
6/11/21, 12:00:00 AM CEST	1120523	
6/12/21, 12:00:00 AM CEST	1120523	
6/13/21, 12:00:00 AM CEST	1120523	
6/14/21, 12:00:00 AM CEST	1120523	
6/15/21, 12:00:00 AM CEST	1120523	
6/16/21, 12:00:00 AM CEST	1120523	
6/17/21, 12:00:00 AM CEST	1120523	
6/18/21, 12:00:00 AM CEST	1120523	
6/19/21, 12:00:00 AM CEST	1120523	
6/20/21, 12:00:00 AM CEST	1120523	
6/21/21, 12:00:00 AM CEST	1120523	
6/22/21, 12:00:00 AM CEST	1120523	
6/23/21, 12:00:00 AM CEST	1120523	
6/24/21, 12:00:00 AM CEST	1120523	
6/25/21, 12:00:00 AM CEST	1120523	
6/26/21, 12:00:00 AM CEST	1120523	
6/27/21, 12:00:00 AM CEST	1120523	
6/28/21, 12:00:00 AM CEST	1120523	
6/29/21, 12:00:00 AM CEST	1120523	
6/30/21, 12:00:00 AM CEST	1120523	
7/1/21, 12:00:00 AM CEST	1120523	
7/2/21, 12:00:00 AM CEST	1120523	
7/3/21, 12:00:00 AM CEST	1120523	
7/4/21, 12:00:00 AM CEST	1120523	
7/5/21, 12:00:00 AM CEST	1120523	
7/6/21, 12:00:00 AM CEST	1120523	
7/7/21, 12:00:00 AM CEST	1120523	
7/8/21, 12:00:00 AM CEST	1120523	
7/9/21, 12:00:00 AM CEST	1120523	
7/10/21, 12:00:00 AM CEST	1120523	
7/11/21, 12:00:00 AM CEST	1120523	
7/12/21, 12:00:00 AM CEST	1120523	
7/13/21, 12:00:00 AM CEST	1120523	
7/14/21, 12:00:00 AM CEST	1120523	
7/15/21, 12:00:00 AM CEST	1120523	
7/16/21, 12:00:00 AM CEST	1120523	
7/17/21, 12:00:00 AM CEST	1120523	
7/18/21, 12:00:00 AM CEST	1120523	
7/19/21, 12:00:00 AM CEST	1120523	
7/20/21, 12:00:00 AM CEST	1120523	
7/21/21, 12:00:00 AM CEST	1120523	
7/22/21, 12:00:00 AM CEST	1120523	
7/23/21, 12:00:00 AM CEST	1120523	
7/24/21, 12:00:00 AM CEST	1120523	
7/25/21, 12:00:00 AM CEST	1120523	
7/26/21, 12:00:00 AM CEST	1120523	
7/27/21, 12:00:00 AM CEST	1120523	
7/28/21, 12:00:00 AM CEST	1120523	
7/29/21, 12:00:00 AM CEST	1120523	
7/30/21, 12:00:00 AM CEST	1120523	
7/31/21, 12:00:00 AM CEST	1120523	
8/1/21, 12:00:00 AM CEST	1120523	
8/2/21, 12:00:00 AM CEST	1120523	
8/3/21, 12:00:00 AM CEST	1120523	
8/4/21, 12:00:00 AM CEST	1120523	
8/5/21, 12:00:00 AM CEST	1120523	
8/6/21, 12:00:00 AM CEST	1120523	
8/7/21, 12:00:00 AM CEST	1120523	
8/8/21, 12:00:00 AM CEST	1120523	
8/9/21, 12:00:00 AM CEST	1120523	
