Time	11.02 DUNANT 1 - ENERGIEMETER KRING INJECTIE  Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER KRING INJECTIE  Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (kWh)	
5/29/20, 12:00:00 AM CEST	3967.0	
5/30/20, 12:00:00 AM CEST	3967.0	
5/31/20, 12:00:00 AM CEST	3967.0	
6/1/20, 12:00:00 AM CEST	3967.0	
6/2/20, 12:00:00 AM CEST	3967.0	
6/3/20, 12:00:00 AM CEST	3967.0	
6/4/20, 12:00:00 AM CEST	3967.0	
6/5/20, 12:00:00 AM CEST	3995.0	
6/6/20, 12:00:00 AM CEST	4095.0	
6/7/20, 12:00:00 AM CEST	4240.0	
6/8/20, 12:00:00 AM CEST	4243.0	
6/9/20, 12:00:00 AM CEST	4245.0	
6/10/20, 12:00:00 AM CEST	4344.0	
6/11/20, 12:00:00 AM CEST	4344.0	
6/12/20, 12:00:00 AM CEST	4344.0	
6/13/20, 12:00:00 AM CEST	4344.0	
6/14/20, 12:00:00 AM CEST	4344.0	
6/15/20, 12:00:00 AM CEST	4344.0	
6/16/20, 12:00:00 AM CEST	4344.0	
6/17/20, 12:00:00 AM CEST	4344.0	
6/18/20, 12:00:00 AM CEST	4344.0	
6/19/20, 12:00:00 AM CEST	4344.0	
6/20/20, 12:00:00 AM CEST	4344.0	
6/21/20, 12:00:00 AM CEST	4344.0	
6/22/20, 12:00:00 AM CEST	4344.0	
6/23/20, 12:00:00 AM CEST	4344.0	
6/24/20, 12:00:00 AM CEST	4344.0	
6/25/20, 12:00:00 AM CEST	4344.0	
6/26/20, 12:00:00 AM CEST	4344.0	
6/27/20, 12:00:00 AM CEST	4344.0	
6/28/20, 12:00:00 AM CEST	4344.0	
6/29/20, 12:00:00 AM CEST	4344.0	
6/30/20, 12:00:00 AM CEST	4344.0	
7/1/20, 12:00:00 AM CEST	4344.0	
7/2/20, 12:00:00 AM CEST	4344.0	
7/3/20, 12:00:00 AM CEST	4344.0	
7/4/20, 12:00:00 AM CEST	4344.0	
7/5/20, 12:00:00 AM CEST	4344.0	
7/6/20, 12:00:00 AM CEST	4344.0	
7/7/20, 12:00:00 AM CEST	4344.0	
7/8/20, 12:00:00 AM CEST	4344.0	
7/9/20, 12:00:00 AM CEST	4344.0	
7/10/20, 12:00:00 AM CEST	4344.0	
7/11/20, 12:00:00 AM CEST	4344.0	
7/12/20, 12:00:00 AM CEST	4344.0	
7/13/20, 12:00:00 AM CEST	4344.0	
7/14/20, 12:00:00 AM CEST	4344.0	
7/15/20, 12:00:00 AM CEST	4344.0	
7/16/20, 12:00:00 AM CEST	4344.0	
7/17/20, 12:00:00 AM CEST	4344.0	
7/18/20, 12:00:00 AM CEST	4344.0	
7/19/20, 12:00:00 AM CEST	4344.0	
7/20/20, 12:00:00 AM CEST	4344.0	
7/21/20, 12:00:00 AM CEST	4344.0	
7/22/20, 12:00:00 AM CEST	4344.0	
7/23/20, 12:00:00 AM CEST	4344.0	
7/24/20, 12:00:00 AM CEST	4344.0	
7/25/20, 12:00:00 AM CEST	4344.0	
7/26/20, 12:00:00 AM CEST	4344.0	
7/27/20, 12:00:00 AM CEST	4344.0	
7/28/20, 12:00:00 AM CEST	4344.0	
7/29/20, 12:00:00 AM CEST	4344.0	
7/30/20, 12:00:00 AM CEST	4344.0	
7/31/20, 12:00:00 AM CEST	4344.0	
8/1/20, 12:00:00 AM CEST	4344.0	
8/2/20, 12:00:00 AM CEST	4344.0	
8/3/20, 12:00:00 AM CEST	4344.0	
8/4/20, 12:00:00 AM CEST	4344.0	
8/5/20, 12:00:00 AM CEST	4344.0	
8/6/20, 12:00:00 AM CEST	4344.0	
8/7/20, 12:00:00 AM CEST	4344.0	
8/8/20, 12:00:00 AM CEST	4344.0	
8/9/20, 12:00:00 AM CEST	4344.0	
8/10/20, 12:00:00 AM CEST	4344.0	
8/11/20, 12:00:00 AM CEST	4344.0	
8/12/20, 12:00:00 AM CEST	4344.0	
8/13/20, 12:00:00 AM CEST	4344.0	
8/14/20, 12:00:00 AM CEST	4344.0	
8/15/20, 12:00:00 AM CEST	4344.0	
8/16/20, 12:00:00 AM CEST	4344.0	
8/17/20, 12:00:00 AM CEST	4344.0	
8/18/20, 12:00:00 AM CEST	4344.0	
8/19/20, 12:00:00 AM CEST	4344.0	
8/20/20, 12:00:00 AM CEST	4344.0	
8/21/20, 12:00:00 AM CEST	4344.0	
8/22/20, 12:00:00 AM CEST	4344.0	
8/23/20, 12:00:00 AM CEST	4344.0	
8/24/20, 12:00:00 AM CEST	4344.0	
8/25/20, 12:00:00 AM CEST	4344.0	
8/26/20, 12:00:00 AM CEST	4344.0	
8/27/20, 12:00:00 AM CEST	4344.0	
8/28/20, 12:00:00 AM CEST	4344.0	
8/29/20, 12:00:00 AM CEST	4344.0	
8/30/20, 12:00:00 AM CEST	4344.0	
8/31/20, 12:00:00 AM CEST	4344.0	
9/1/20, 12:00:00 AM CEST	4344.0	
9/2/20, 12:00:00 AM CEST	4344.0	
9/3/20, 12:00:00 AM CEST	4344.0	
9/4/20, 12:00:00 AM CEST	4344.0	
9/5/20, 12:00:00 AM CEST	4344.0	
9/6/20, 12:00:00 AM CEST	4344.0	
9/7/20, 12:00:00 AM CEST	4344.0	
9/8/20, 12:00:00 AM CEST	4344.0	
9/9/20, 12:00:00 AM CEST	4344.0	
9/10/20, 12:00:00 AM CEST	4344.0	
9/11/20, 12:00:00 AM CEST	4344.0	
9/12/20, 12:00:00 AM CEST	4344.0	
9/13/20, 12:00:00 AM CEST	4344.0	
9/14/20, 12:00:00 AM CEST	4344.0	
9/15/20, 12:00:00 AM CEST	4344.0	
9/16/20, 12:00:00 AM CEST	4344.0	
9/17/20, 12:00:00 AM CEST	4344.0	
9/18/20, 12:00:00 AM CEST	4344.0	
9/19/20, 12:00:00 AM CEST	4344.0	
9/20/20, 12:00:00 AM CEST	4344.0	
