Time	11.02 DUNANT 1 - ENERGIEMETER VERWARMING/KOELING LUCHTGROEPEN  Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER VERWARMING/KOELING LUCHTGROEPEN  Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (MWh)	11.02 DUNANT 1 - ENERGIEMETER VERWARMING/KOELING LUCHTGROEPEN  Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER VERWARMING/KOELING LUCHTGROEPEN  Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (MWh)	
5/29/20, 12:00:00 AM CEST	5.76	0.05	
5/30/20, 12:00:00 AM CEST	5.79	0.05	
5/31/20, 12:00:00 AM CEST	5.84	0.06	
6/1/20, 12:00:00 AM CEST	5.88	0.06	
6/2/20, 12:00:00 AM CEST	5.93	0.06	
6/3/20, 12:00:00 AM CEST	6.6	0.06	
6/4/20, 12:00:00 AM CEST	6.6	0.06	
6/5/20, 12:00:00 AM CEST	6.73	0.06	
6/6/20, 12:00:00 AM CEST	6.76	0.06	
6/7/20, 12:00:00 AM CEST	6.91	0.06	
6/8/20, 12:00:00 AM CEST	6.92	0.06	
6/9/20, 12:00:00 AM CEST	7.04	0.06	
6/10/20, 12:00:00 AM CEST	7.05	0.1	
6/11/20, 12:00:00 AM CEST	7.05	0.19	
6/12/20, 12:00:00 AM CEST	7.06	0.32	
6/13/20, 12:00:00 AM CEST	7.06	0.4	
6/14/20, 12:00:00 AM CEST	7.07	0.41	
6/15/20, 12:00:00 AM CEST	7.07	0.45	
6/16/20, 12:00:00 AM CEST	7.07	0.5	
6/17/20, 12:00:00 AM CEST	7.07	0.51	
6/18/20, 12:00:00 AM CEST	7.07	0.54	
6/19/20, 12:00:00 AM CEST	7.07	0.6	
6/20/20, 12:00:00 AM CEST	7.07	0.64	
6/21/20, 12:00:00 AM CEST	7.07	0.69	
6/22/20, 12:00:00 AM CEST	7.07	0.73	
6/23/20, 12:00:00 AM CEST	7.07	0.8	
6/24/20, 12:00:00 AM CEST	7.08	0.81	
6/25/20, 12:00:00 AM CEST	7.08	0.85	
6/26/20, 12:00:00 AM CEST	7.08	0.91	
6/27/20, 12:00:00 AM CEST	7.08	1.0	
6/28/20, 12:00:00 AM CEST	7.08	1.11	
6/29/20, 12:00:00 AM CEST	7.08	1.15	
6/30/20, 12:00:00 AM CEST	7.08	1.18	
7/1/20, 12:00:00 AM CEST	7.08	1.18	
7/2/20, 12:00:00 AM CEST	7.08	1.18	
7/3/20, 12:00:00 AM CEST	7.08	1.18	
7/4/20, 12:00:00 AM CEST	7.08	1.19	
7/5/20, 12:00:00 AM CEST	7.08	1.2	
7/6/20, 12:00:00 AM CEST	7.08	1.2	
7/7/20, 12:00:00 AM CEST	7.08	1.2	
7/8/20, 12:00:00 AM CEST	7.08	1.2	
7/9/20, 12:00:00 AM CEST	7.08	1.21	
7/10/20, 12:00:00 AM CEST	7.08	1.21	
7/11/20, 12:00:00 AM CEST	7.08	1.21	
7/12/20, 12:00:00 AM CEST	7.08	1.21	
7/13/20, 12:00:00 AM CEST	7.08	1.21	
7/14/20, 12:00:00 AM CEST	7.08	1.23	
7/15/20, 12:00:00 AM CEST	7.08	1.3	
7/16/20, 12:00:00 AM CEST	7.08	1.3	
7/17/20, 12:00:00 AM CEST	7.08	1.3	
7/18/20, 12:00:00 AM CEST	7.08	1.3	
7/19/20, 12:00:00 AM CEST	7.08	1.38	
7/20/20, 12:00:00 AM CEST	7.08	1.45	
7/21/20, 12:00:00 AM CEST	7.08	1.47	
7/22/20, 12:00:00 AM CEST	7.08	1.47	
7/23/20, 12:00:00 AM CEST	7.08	1.47	
7/24/20, 12:00:00 AM CEST	7.08	1.48	
7/25/20, 12:00:00 AM CEST	7.08	1.59	
7/26/20, 12:00:00 AM CEST	7.08	1.59	
7/27/20, 12:00:00 AM CEST	7.08	1.65	
7/28/20, 12:00:00 AM CEST	7.08	1.68	
7/29/20, 12:00:00 AM CEST	7.08	1.79	
7/30/20, 12:00:00 AM CEST	7.08	1.79	
7/31/20, 12:00:00 AM CEST	7.08	1.82	
8/1/20, 12:00:00 AM CEST	7.08	1.96	
8/2/20, 12:00:00 AM CEST	7.08	2.16	
8/3/20, 12:00:00 AM CEST	7.08	2.28	
8/4/20, 12:00:00 AM CEST	7.08	2.29	
8/5/20, 12:00:00 AM CEST	7.08	2.29	
8/6/20, 12:00:00 AM CEST	7.08	2.36	
8/7/20, 12:00:00 AM CEST	7.08	2.49	
8/8/20, 12:00:00 AM CEST	7.08	2.65	
8/9/20, 12:00:00 AM CEST	7.08	2.88	
8/10/20, 12:00:00 AM CEST	7.08	3.13	
8/11/20, 12:00:00 AM CEST	7.08	3.39	
8/12/20, 12:00:00 AM CEST	7.08	3.63	
8/13/20, 12:00:00 AM CEST	7.08	3.86	
8/14/20, 12:00:00 AM CEST	7.08	4.07	
8/15/20, 12:00:00 AM CEST	7.08	4.26	
8/16/20, 12:00:00 AM CEST	7.08	4.36	
8/17/20, 12:00:00 AM CEST	7.08	4.47	
8/18/20, 12:00:00 AM CEST	7.08	4.55	
8/19/20, 12:00:00 AM CEST	7.08	4.61	
8/20/20, 12:00:00 AM CEST	7.08	4.69	
8/21/20, 12:00:00 AM CEST	7.08	4.78	
8/22/20, 12:00:00 AM CEST	7.08	5.07	
8/23/20, 12:00:00 AM CEST	7.08	5.14	
8/24/20, 12:00:00 AM CEST	7.08	5.16	
8/25/20, 12:00:00 AM CEST	7.08	5.16	
8/26/20, 12:00:00 AM CEST	7.08	5.17	
8/27/20, 12:00:00 AM CEST	7.08	5.19	
8/28/20, 12:00:00 AM CEST	7.08	5.19	
8/29/20, 12:00:00 AM CEST	7.08	5.19	
8/30/20, 12:00:00 AM CEST	7.08	5.19	
8/31/20, 12:00:00 AM CEST	7.08	5.19	
9/1/20, 12:00:00 AM CEST	7.08	5.19	
9/2/20, 12:00:00 AM CEST	7.08	5.19	
9/3/20, 12:00:00 AM CEST	7.08	5.19	
9/4/20, 12:00:00 AM CEST	7.08	5.2	
9/5/20, 12:00:00 AM CEST	7.08	5.2	
9/6/20, 12:00:00 AM CEST	7.08	5.2	
9/7/20, 12:00:00 AM CEST	7.08	5.2	
9/8/20, 12:00:00 AM CEST	7.08	5.2	
9/9/20, 12:00:00 AM CEST	7.08	5.2	
9/10/20, 12:00:00 AM CEST	7.08	5.2	
9/11/20, 12:00:00 AM CEST	7.08	5.23	
9/12/20, 12:00:00 AM CEST	7.08	5.24	
9/13/20, 12:00:00 AM CEST	7.08	5.24	
9/14/20, 12:00:00 AM CEST	7.08	5.24	
9/15/20, 12:00:00 AM CEST	7.08	5.29	
9/16/20, 12:00:00 AM CEST	7.08	5.41	
9/17/20, 12:00:00 AM CEST	7.08	5.51	
9/18/20, 12:00:00 AM CEST	7.08	5.58	
9/19/20, 12:00:00 AM CEST	7.08	5.58	
9/20/20, 12:00:00 AM CEST	7.08	5.62	
9/21/20, 12:00:00 AM CEST	7.08	5.68	
9/22/20, 12:00:00 AM CEST	7.08	5.73	
9/23/20, 12:00:00 AM CEST	7.12	5.73	
9/24/20, 12:00:00 AM CEST	7.12	5.73	
9/25/20, 12:00:00 AM CEST	7.14	5.73	
9/26/20, 12:00:00 AM CEST	7.22	5.73	
9/27/20, 12:00:00 AM CEST	7.25	5.73	
9/28/20, 12:00:00 AM CEST	7.32	5.73	
9/29/20, 12:00:00 AM CEST	7.36	5.73	
9/30/20, 12:00:00 AM CEST	7.42	5.73	
10/1/20, 12:00:00 AM CEST	7.47	5.73	
10/2/20, 12:00:00 AM CEST	7.5	5.73	
10/3/20, 12:00:00 AM CEST	7.59	5.73	
10/4/20, 12:00:00 AM CEST	7.63	5.73	
10/5/20, 12:00:00 AM CEST	7.69	5.73	
10/6/20, 12:00:00 AM CEST	7.81	5.73	
10/7/20, 12:00:00 AM CEST	7.85	5.73	
10/8/20, 12:00:00 AM CEST	7.88	5.73	
10/9/20, 12:00:00 AM CEST	7.92	5.73	
10/10/20, 12:00:00 AM CEST	7.94	5.73	
