Time	11.02 DUNANT 1 - ENERGIEMETER VLOERVERWARMING/VLOERKOELING  Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER VLOERVERWARMING/VLOERKOELING  Totaal energieverbruik warm MWh.JCI Trend Log.Present Value (kWh)	11.02 DUNANT 1 - ENERGIEMETER VLOERVERWARMING/VLOERKOELING  Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER VLOERVERWARMING/VLOERKOELING  Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (kWh)	
5/29/20, 12:00:00 AM CEST	5982.0	4.0	
5/30/20, 12:00:00 AM CEST	5982.0	4.0	
5/31/20, 12:00:00 AM CEST	5986.0	4.0	
6/1/20, 12:00:00 AM CEST	5988.0	4.0	
6/2/20, 12:00:00 AM CEST	5989.0	4.0	
6/3/20, 12:00:00 AM CEST	5992.0	4.0	
6/4/20, 12:00:00 AM CEST	5992.0	4.0	
6/5/20, 12:00:00 AM CEST	5992.0	4.0	
6/6/20, 12:00:00 AM CEST	5992.0	4.0	
6/7/20, 12:00:00 AM CEST	5995.0	4.0	
6/8/20, 12:00:00 AM CEST	5995.0	4.0	
6/9/20, 12:00:00 AM CEST	5997.0	4.0	
6/10/20, 12:00:00 AM CEST	5997.0	6.0	
6/11/20, 12:00:00 AM CEST	5997.0	6.0	
6/12/20, 12:00:00 AM CEST	6002.0	8.0	
6/13/20, 12:00:00 AM CEST	6003.0	25.0	
6/14/20, 12:00:00 AM CEST	6005.0	25.0	
6/15/20, 12:00:00 AM CEST	6014.0	25.0	
6/16/20, 12:00:00 AM CEST	6026.0	25.0	
6/17/20, 12:00:00 AM CEST	6030.0	25.0	
6/18/20, 12:00:00 AM CEST	6038.0	25.0	
6/19/20, 12:00:00 AM CEST	6046.0	25.0	
6/20/20, 12:00:00 AM CEST	6055.0	25.0	
6/21/20, 12:00:00 AM CEST	6063.0	25.0	
6/22/20, 12:00:00 AM CEST	6071.0	25.0	
6/23/20, 12:00:00 AM CEST	6084.0	25.0	
6/24/20, 12:00:00 AM CEST	6087.0	25.0	
6/25/20, 12:00:00 AM CEST	6096.0	25.0	
6/26/20, 12:00:00 AM CEST	6107.0	53.0	
6/27/20, 12:00:00 AM CEST	6107.0	169.0	
6/28/20, 12:00:00 AM CEST	6107.0	311.0	
6/29/20, 12:00:00 AM CEST	6111.0	340.0	
6/30/20, 12:00:00 AM CEST	6124.0	360.0	
7/1/20, 12:00:00 AM CEST	6126.0	360.0	
7/2/20, 12:00:00 AM CEST	6135.0	360.0	
7/3/20, 12:00:00 AM CEST	6143.0	360.0	
7/4/20, 12:00:00 AM CEST	6151.0	362.0	
7/5/20, 12:00:00 AM CEST	6158.0	370.0	
7/6/20, 12:00:00 AM CEST	6167.0	370.0	
7/7/20, 12:00:00 AM CEST	6174.0	371.0	
7/8/20, 12:00:00 AM CEST	6182.0	371.0	
7/9/20, 12:00:00 AM CEST	6189.0	374.0	
7/10/20, 12:00:00 AM CEST	6198.0	374.0	
7/11/20, 12:00:00 AM CEST	6205.0	374.0	
7/12/20, 12:00:00 AM CEST	6213.0	374.0	
7/13/20, 12:00:00 AM CEST	6221.0	374.0	
7/14/20, 12:00:00 AM CEST	6228.0	381.0	
7/15/20, 12:00:00 AM CEST	6234.0	409.0	
7/16/20, 12:00:00 AM CEST	6242.0	409.0	
7/17/20, 12:00:00 AM CEST	6250.0	409.0	
7/18/20, 12:00:00 AM CEST	6257.0	409.0	
7/19/20, 12:00:00 AM CEST	6263.0	431.0	
7/20/20, 12:00:00 AM CEST	6268.0	457.0	
7/21/20, 12:00:00 AM CEST	6275.0	467.0	
7/22/20, 12:00:00 AM CEST	6282.0	468.0	
7/23/20, 12:00:00 AM CEST	6290.0	468.0	
7/24/20, 12:00:00 AM CEST	6297.0	476.0	
7/25/20, 12:00:00 AM CEST	6303.0	504.0	
7/26/20, 12:00:00 AM CEST	6311.0	504.0	
7/27/20, 12:00:00 AM CEST	6318.0	508.0	
7/28/20, 12:00:00 AM CEST	6324.0	516.0	
7/29/20, 12:00:00 AM CEST	6329.0	562.0	
7/30/20, 12:00:00 AM CEST	6336.0	562.0	
7/31/20, 12:00:00 AM CEST	6343.0	577.0	
8/1/20, 12:00:00 AM CEST	6347.0	645.0	
8/2/20, 12:00:00 AM CEST	6350.0	723.0	
8/3/20, 12:00:00 AM CEST	6351.0	808.0	
8/4/20, 12:00:00 AM CEST	6356.0	830.0	
8/5/20, 12:00:00 AM CEST	6364.0	830.0	
8/6/20, 12:00:00 AM CEST	6370.0	852.0	
8/7/20, 12:00:00 AM CEST	6374.0	912.0	
8/8/20, 12:00:00 AM CEST	6377.0	992.0	
8/9/20, 12:00:00 AM CEST	6378.0	1093.0	
8/10/20, 12:00:00 AM CEST	6378.0	1208.0	
