Time	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik warm MWh .JCI Trend Log.Present Value (kWh)	11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.11.02 DUNANT 1 - ENERGIEMETER SECUNDAIR WARMTEPOMP EN PLATENWISSELAAR KOELING Totaal energieverbruik koud MWh.JCI Trend Log.Present Value (kWh)	
5/29/20, 12:00:00 AM CEST	3195.0	10680.0	
5/30/20, 12:00:00 AM CEST	3222.0	10691.0	
5/31/20, 12:00:00 AM CEST	3237.0	10715.0	
6/1/20, 12:00:00 AM CEST	3262.0	10736.0	
6/2/20, 12:00:00 AM CEST	3288.0	10757.0	
6/3/20, 12:00:00 AM CEST	3308.0	11106.0	
6/4/20, 12:00:00 AM CEST	3309.0	11347.0	
6/5/20, 12:00:00 AM CEST	3324.0	11349.0	
6/6/20, 12:00:00 AM CEST	3329.0	11355.0	
6/7/20, 12:00:00 AM CEST	3344.0	11361.0	
6/8/20, 12:00:00 AM CEST	3361.0	11361.0	
6/9/20, 12:00:00 AM CEST	3386.0	11365.0	
6/10/20, 12:00:00 AM CEST	3423.0	11365.0	
6/11/20, 12:00:00 AM CEST	3521.0	11365.0	
6/12/20, 12:00:00 AM CEST	3682.0	11388.0	
6/13/20, 12:00:00 AM CEST	3766.0	11388.0	
6/14/20, 12:00:00 AM CEST	3778.0	11388.0	
6/15/20, 12:00:00 AM CEST	3809.0	11388.0	
6/16/20, 12:00:00 AM CEST	3869.0	11389.0	
6/17/20, 12:00:00 AM CEST	3869.0	11389.0	
6/18/20, 12:00:00 AM CEST	3909.0	11389.0	
6/19/20, 12:00:00 AM CEST	3966.0	11389.0	
