Time	11.02 DUNANT 1 - Warmteproduktie ketel.Gasteller.11.02 DUNANT 1 - Warmteproduktie ketel.Gasteller.JCI Trend Log.Present Value ()	
2/1/20, 12:00:00 AM CET	0.0	
2/2/20, 12:00:00 AM CET	0.0	
2/3/20, 12:00:00 AM CET	0.0	
2/4/20, 12:00:00 AM CET	0.0	
2/5/20, 12:00:00 AM CET	0.0	
2/6/20, 12:00:00 AM CET	0.0	
2/7/20, 12:00:00 AM CET	0.0	
2/8/20, 12:00:00 AM CET	0.0	
2/9/20, 12:00:00 AM CET	0.0	
2/10/20, 12:00:00 AM CET	0.0	
2/11/20, 12:00:00 AM CET	0.0	
2/12/20, 12:00:00 AM CET	0.0	
2/13/20, 12:00:00 AM CET	0.0	
2/14/20, 12:00:00 AM CET	0.0	
2/15/20, 12:00:00 AM CET	0.0	
2/16/20, 12:00:00 AM CET	0.0	
2/17/20, 12:00:00 AM CET	0.0	
2/18/20, 12:00:00 AM CET	0.0	
2/19/20, 12:00:00 AM CET	0.0	
2/20/20, 12:00:00 AM CET	0.0	
2/21/20, 12:00:00 AM CET	0.0	
2/22/20, 12:00:00 AM CET	0.0	
2/23/20, 12:00:00 AM CET	0.0	
2/24/20, 12:00:00 AM CET	0.0	
2/25/20, 12:00:00 AM CET	0.0	
2/26/20, 12:00:00 AM CET	0.0	
2/27/20, 12:00:00 AM CET	0.0	
2/28/20, 12:00:00 AM CET	0.0	
2/29/20, 12:00:00 AM CET	2141.0	
3/1/20, 12:00:00 AM CET	4677.0	
3/2/20, 12:00:00 AM CET	7041.0	
3/3/20, 12:00:00 AM CET	9477.0	
3/7/20, 12:00:00 AM CET	14818.0	
3/8/20, 12:00:00 AM CET	15773.0	
3/9/20, 12:00:00 AM CET	16550.0	
3/10/20, 12:00:00 AM CET	17552.0	
3/11/20, 12:00:00 AM CET	18479.0	
3/12/20, 12:00:00 AM CET	21777.0	
3/13/20, 12:00:00 AM CET	26784.0	
3/14/20, 12:00:00 AM CET	444952.0	
3/15/20, 12:00:00 AM CET	449564.0	
3/16/20, 12:00:00 AM CET	454222.0	
3/17/20, 12:00:00 AM CET	458733.0	
3/18/20, 12:00:00 AM CET	463191.0	
3/19/20, 12:00:00 AM CET	467318.0	
3/20/20, 12:00:00 AM CET	469948.0	
3/21/20, 12:00:00 AM CET	471326.0	
3/22/20, 12:00:00 AM CET	472853.0	
3/23/20, 12:00:00 AM CET	474101.0	
3/24/20, 12:00:00 AM CET	475549.0	
3/25/20, 12:00:00 AM CET	477051.0	
3/26/20, 12:00:00 AM CET	478090.0	
3/27/20, 12:00:00 AM CET	478456.0	
3/28/20, 12:00:00 AM CET	478886.0	
3/29/20, 12:00:00 AM CET	479387.0	
3/30/20, 12:00:00 AM CEST	479916.0	
3/31/20, 12:00:00 AM CEST	485605.0	
4/1/20, 12:00:00 AM CEST	491088.0	
4/2/20, 12:00:00 AM CEST	496225.0	
4/3/20, 12:00:00 AM CEST	500490.0	
4/4/20, 12:00:00 AM CEST	503137.0	
4/5/20, 12:00:00 AM CEST	503137.0	
4/6/20, 12:00:00 AM CEST	503137.0	
4/7/20, 12:00:00 AM CEST	503137.0	
4/8/20, 12:00:00 AM CEST	503137.0	
4/9/20, 12:00:00 AM CEST	503137.0	
4/10/20, 12:00:00 AM CEST	503137.0	
4/11/20, 12:00:00 AM CEST	503137.0	
4/12/20, 12:00:00 AM CEST	503137.0	
4/13/20, 12:00:00 AM CEST	503137.0	
4/14/20, 12:00:00 AM CEST	503137.0	
4/15/20, 12:00:00 AM CEST	503137.0	
4/16/20, 12:00:00 AM CEST	503137.0	
4/17/20, 12:00:00 AM CEST	503137.0	
4/18/20, 12:00:00 AM CEST	507112.0	
4/19/20, 12:00:00 AM CEST	510416.0	
4/20/20, 12:00:00 AM CEST	513399.0	
4/21/20, 12:00:00 AM CEST	515384.0	
4/22/20, 12:00:00 AM CEST	517069.0	
4/23/20, 12:00:00 AM CEST	518527.0	
4/24/20, 12:00:00 AM CEST	519847.0	
4/25/20, 12:00:00 AM CEST	521531.0	
4/26/20, 12:00:00 AM CEST	523377.0	
4/27/20, 12:00:00 AM CEST	525174.0	
4/28/20, 12:00:00 AM CEST	526626.0	
4/29/20, 12:00:00 AM CEST	528386.0	
4/30/20, 12:00:00 AM CEST	529785.0	
5/1/20, 12:00:00 AM CEST	530260.0	
5/2/20, 12:00:00 AM CEST	532156.0	
5/3/20, 12:00:00 AM CEST	532539.0	
5/4/20, 12:00:00 AM CEST	532797.0	
5/5/20, 12:00:00 AM CEST	534257.0	
5/6/20, 12:00:00 AM CEST	534537.0	
5/7/20, 12:00:00 AM CEST	534792.0	
5/8/20, 12:00:00 AM CEST	535010.0	
5/9/20, 12:00:00 AM CEST	535182.0	
5/10/20, 12:00:00 AM CEST	535286.0	
5/11/20, 12:00:00 AM CEST	535488.0	
5/12/20, 12:00:00 AM CEST	535891.0	
5/13/20, 12:00:00 AM CEST	537286.0	
5/14/20, 12:00:00 AM CEST	539001.0	
5/15/20, 12:00:00 AM CEST	540921.0	
5/16/20, 12:00:00 AM CEST	541734.0	
5/17/20, 12:00:00 AM CEST	541734.0	
5/18/20, 12:00:00 AM CEST	541734.0	
5/19/20, 12:00:00 AM CEST	542254.0	
5/20/20, 12:00:00 AM CEST	542596.0	
5/21/20, 12:00:00 AM CEST	542744.0	
5/22/20, 12:00:00 AM CEST	542838.0	
5/23/20, 12:00:00 AM CEST	542892.0	
5/24/20, 12:00:00 AM CEST	543015.0	
5/25/20, 12:00:00 AM CEST	543178.0	
5/26/20, 12:00:00 AM CEST	543330.0	
5/27/20, 12:00:00 AM CEST	543458.0	
5/28/20, 12:00:00 AM CEST	543599.0	
5/29/20, 12:00:00 AM CEST	543733.0	
5/30/20, 12:00:00 AM CEST	543868.0	
5/31/20, 12:00:00 AM CEST	543956.0	
6/1/20, 12:00:00 AM CEST	544028.0	
6/2/20, 12:00:00 AM CEST	544102.0	
6/3/20, 12:00:00 AM CEST	544168.0	
6/4/20, 12:00:00 AM CEST	544522.0	
6/5/20, 12:00:00 AM CEST	545650.0	
6/6/20, 12:00:00 AM CEST	547263.0	
6/7/20, 12:00:00 AM CEST	547503.0	
6/8/20, 12:00:00 AM CEST	547644.0	
6/9/20, 12:00:00 AM CEST	548753.0	
6/10/20, 12:00:00 AM CEST	548949.0	
6/11/20, 12:00:00 AM CEST	549143.0	
6/12/20, 12:00:00 AM CEST	549282.0	
6/13/20, 12:00:00 AM CEST	549380.0	
6/14/20, 12:00:00 AM CEST	549464.0	
6/15/20, 12:00:00 AM CEST	549554.0	
6/16/20, 12:00:00 AM CEST	549654.0	
6/17/20, 12:00:00 AM CEST	549769.0	
6/18/20, 12:00:00 AM CEST	549903.0	
6/19/20, 12:00:00 AM CEST	550007.0	
6/20/20, 12:00:00 AM CEST	550175.0	
6/21/20, 12:00:00 AM CEST	550260.0	
6/22/20, 12:00:00 AM CEST	550369.0	
6/23/20, 12:00:00 AM CEST	550490.0	
6/24/20, 12:00:00 AM CEST	550573.0	
6/25/20, 12:00:00 AM CEST	550635.0	
6/26/20, 12:00:00 AM CEST	550670.0	
6/27/20, 12:00:00 AM CEST	550723.0	
6/28/20, 12:00:00 AM CEST	550822.0	
6/29/20, 12:00:00 AM CEST	550930.0	
6/30/20, 12:00:00 AM CEST	551099.0	
7/1/20, 12:00:00 AM CEST	551282.0	
7/2/20, 12:00:00 AM CEST	551403.0	
7/3/20, 12:00:00 AM CEST	551537.0	
7/4/20, 12:00:00 AM CEST	551652.0	
7/5/20, 12:00:00 AM CEST	551786.0	
7/6/20, 12:00:00 AM CEST	551909.0	
7/7/20, 12:00:00 AM CEST	552068.0	
7/8/20, 12:00:00 AM CEST	552215.0	
7/9/20, 12:00:00 AM CEST	552392.0	
7/10/20, 12:00:00 AM CEST	552529.0	
7/11/20, 12:00:00 AM CEST	552683.0	
7/12/20, 12:00:00 AM CEST	552835.0	
7/13/20, 12:00:00 AM CEST	552972.0	
7/14/20, 12:00:00 AM CEST	553094.0	
7/15/20, 12:00:00 AM CEST	553279.0	
7/16/20, 12:00:00 AM CEST	553427.0	
7/17/20, 12:00:00 AM CEST	553600.0	
7/18/20, 12:00:00 AM CEST	553675.0	
7/19/20, 12:00:00 AM CEST	553776.0	
7/20/20, 12:00:00 AM CEST	553881.0	
7/21/20, 12:00:00 AM CEST	554009.0	
7/22/20, 12:00:00 AM CEST	554107.0	
7/23/20, 12:00:00 AM CEST	554265.0	
7/24/20, 12:00:00 AM CEST	554377.0	
7/25/20, 12:00:00 AM CEST	554492.0	
7/26/20, 12:00:00 AM CEST	554571.0	
7/27/20, 12:00:00 AM CEST	554676.0	
7/28/20, 12:00:00 AM CEST	554776.0	
7/29/20, 12:00:00 AM CEST	554895.0	
7/30/20, 12:00:00 AM CEST	555024.0	
7/31/20, 12:00:00 AM CEST	555102.0	
8/1/20, 12:00:00 AM CEST	555165.0	
8/2/20, 12:00:00 AM CEST	555263.0	
8/3/20, 12:00:00 AM CEST	555389.0	
