jaar_maand,aantal_aanvragen
2016-03,41
2016-04,60
2016-05,51
2016-06,46
2016-07,53
2016-08,130
2016-09,141
2016-10,377
2016-11,422
2016-12,192
2017-01,350
2017-02,196
2017-03,201
2017-04,136
2017-05,154
2017-06,128
2017-07,69
2017-08,113
2017-09,133
2017-10,212
2017-11,259
2017-12,226
2018-01,247
2018-02,276
2018-03,261
2018-04,147
2018-05,135
2018-06,114
2018-07,136
2018-08,131
2018-09,134
2018-10,296
2018-11,236
2018-12,143
2019-01,246
2019-02,167
2019-03,159
2019-04,159
2019-05,160
2019-06,181
2019-07,89
2019-08,113
2019-09,168
2019-10,247
2019-11,281
2019-12,137
2020-01,216
2020-02,153
2020-03,115
2020-04,76
2020-05,99
2020-06,117
2020-07,73
2020-08,143
2020-09,236
2020-10,273
2020-11,225
2020-12,211
2021-01,237
2021-02,204
2021-03,180
2021-04,147
2021-05,142
2021-06,200
2021-07,129
2021-08,163
2021-09,255
2021-10,374
2021-11,248
2021-12,204
2022-01,198
2022-02,214
2022-03,236
2022-04,187
2022-05,218
2022-06,171
2022-07,145
2022-08,179
2022-09,279
2022-10,288
2022-11,335
2022-12,368
2023-01,279
2023-02,196
2023-03,247
2023-04,215
2023-05,207
2023-06,246
2023-07,139
2023-08,148
2023-09,225
2023-10,338
2023-11,240
2023-12,215
2024-01,299
2024-02,192
2024-03,187
2024-04,150
2024-05,155
2024-06,158
2024-07,118
2024-08,219
2024-09,270
2024-10,341
2024-11,267
2024-12,242
2025-01,285
2025-02,211
2025-03,186
